epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,315.048,1.24297,0.69909,1.19602,0.72078,0.63134,0.67677,0.3382,1.57295,0.89115,1.41907,0.000296988,0.000296988,0.000296988
33,324.782,1.23902,0.69131,1.17863,0.73244,0.63251,0.68357,0.34134,1.57248,0.89821,1.41542,0.000281762,0.000281762,0.000281762
34,334.63,1.22365,0.68152,1.17906,0.7205,0.62428,0.67047,0.33941,1.56344,0.89285,1.40978,0.000266535,0.000266535,0.000266535
35,344.316,1.20732,0.67635,1.1743,0.71617,0.6485,0.67019,0.33922,1.56398,0.89268,1.41722,0.000251309,0.000251309,0.000251309
36,353.914,1.18815,0.65725,1.16139,0.69318,0.66624,0.68674,0.33968,1.56536,0.89116,1.40883,0.000236083,0.000236083,0.000236083
37,363.678,1.17988,0.65329,1.15819,0.72768,0.66834,0.69391,0.34103,1.58825,0.86068,1.43446,0.000220857,0.000220857,0.000220857
38,373.489,1.16505,0.63703,1.15245,0.71271,0.66978,0.68799,0.34311,1.56939,0.8805,1.4274,0.000205631,0.000205631,0.000205631
39,383.582,1.14654,0.63269,1.13745,0.71645,0.69863,0.70915,0.35325,1.56008,0.85116,1.41842,0.000190404,0.000190404,0.000190404
40,393.289,1.13706,0.6191,1.13887,0.73742,0.65353,0.69427,0.34589,1.55918,0.85426,1.4261,0.000175178,0.000175178,0.000175178
41,405.116,1.13327,0.5756,1.14257,0.7169,0.67147,0.69574,0.34746,1.5618,0.85828,1.42604,0.000159952,0.000159952,0.000159952
